Fecha,Hora_Entrada,Hora_Salida,ID_Caja,ID_Producto,Temperatura_Actual,Ubicacion,ID_Robot,ID_Celda,ID_Pedido,Numero_Serie,Responsable,horas_almacenado,Num_Fila_Repetida
26/06/2023,13,14,caja001,3,3,a34,robot 1,2,370,470,4,1,0
26/06/2023,9,20,caja004,75,3,k15,robot 1,n/a,286,382,3,11,0
26/06/2023,4,18,caja004,44,3,m15,robot 3,n/a,269,170,9,14,0
26/06/2023,13,22,caja002,11,3,b21,n/a,2,247,182,2,9,0
26/6/2023,10,20,caja002,7,3,g22,robot 3,n/a,78,149,9,10,0
26/06/2023,9,23,caja002,15,3,n26,robot 1,0,193,47,10,14,0
26/06/2023,5,17,caja003,96,12,e09,robot 3,1,36,362,7,12,0
26/06/2023,11,19,caja001,15,12,q20,robot 2,2,296,2,10,8,0
26/06/2023,8,16,caja001,23,12,b30,n/a,2,30,286,6,8,0
26/6/2023,6,21,caja003,66,3,g07,n/a,0,146,459,5,15,0
26/6/2023,4,22,caja003,31,12,b18,robot 1,2,63,362,4,18,0
26/6/2023,10,22,caja002,37,3,a15,robot 4,0,190,93,1,12,0
26/06/2023,6,16,caja003,89,3,o36,robot 1,1,265,495,4,10,0
26/6/2023,6,14,caja003,19,3,f13,robot 2,n/a,414,366,3,8,0
26/06/2023,7,21,caja003,18,3,f35,robot 2,n/a,243,492,2,14,0
26/06/2023,13,21,caja002,47,3,l06,n/a,2,202,202,5,8,0
26/06/2023,5,22,caja002,13,12,a27,robot 2,n/a,251,59,5,17,0
26/06/2023,7,16,caja002,82,12,e35,robot 4,n/a,290,128,5,9,0
26/06/2023,12,16,caja002,43,3,o38,robot 3,n/a,256,125,4,4,0
26/06/2023,10,14,caja003,91,3,i28,robot 1,0,79,164,3,4,0
26/6/2023,5,23,caja001,36,3,d31,robot 3,0,496,469,8,18,0
26/06/2023,8,22,caja003,38,3,b37,robot 3,n/a,47,420,4,14,0
26/06/2023,11,16,caja003,76,3,a25,n/a,2,97,421,6,5,0
26/6/2023,11,17,caja002,63,3,k06,robot 1,2,342,46,5,6,0
26/06/2023,5,20,caja003,68,12,n33,robot 1,n/a,320,137,6,15,0
26/6/2023,7,19,caja002,53,12,d28,robot 4,0,165,483,2,12,0
26/06/2023,6,18,caja004,13,3,p17,robot 4,2,413,329,8,12,0
26/06/2023,8,17,caja003,77,12,i40,robot 2,0,398,435,8,9,0
26/06/2023,8,22,na,32,12,d10,robot 4,0,301,229,3,14,0
26/06/2023,5,17,caja001,26,3,d16,robot 4,2,498,401,2,12,0
26/6/2023,10,15,caja004,59,12,o31,n/a,1,6,147,3,5,0
26/06/2023,9,14,caja002,75,3,l08,robot 1,0,150,92,6,5,0
26/6/2023,5,18,na,9,3,m16,robot 3,n/a,123,53,4,13,0
26/06/2023,5,21,caja001,77,3,c01,robot 1,0,74,243,8,16,0
26/6/2023,5,23,caja001,69,3,a39,robot 1,0,301,497,3,18,0
26/06/2023,5,19,caja001,39,12,a39,robot 2,0,29,290,4,14,1
26/06/2023,11,19,caja001,14,3,c34,robot 1,0,483,105,5,8,0
26/06/2023,4,17,caja004,55,3,k28,robot 1,1,9,18,3,13,0
26/06/2023,5,19,caja002,28,12,d37,robot 1,n/a,141,299,6,14,0
26/6/2023,8,19,caja003,74,3,j36,n/a,n/a,190,329,2,11,0
26/06/2023,8,17,caja001,18,12,h36,n/a,n/a,312,263,4,9,0
26/06/2023,13,20,caja004,98,12,n40,robot 4,n/a,99,163,3,7,0
26/06/2023,13,19,caja004,57,3,m35,robot 1,1,378,22,4,6,0
26/06/2023,5,18,caja001,84,3,l22,robot 4,1,98,260,9,13,0
26/06/2023,11,17,caja002,56,12,b01,n/a,n/a,391,468,9,6,0
26/6/2023,5,21,caja002,3,12,e08,robot 1,0,278,342,2,16,0
